boss_name,our_dps,accuracy_pct,max_hit,style,attack_type,style_choice,weapon,ammo_slot,loaded_dart,head,cape,neck,body,shield,legs,hands,feet,ring,boost_used,active_bonuses,boss_page_url,wiki_calc_url,wiki_dps,dps_diff,dps_diff_pct,notes
Nex,5.1918,55.38,45,melee,stab,controlled,Dual macuahuitl,Holy blessing,,Void melee helm,Fire cape,Amulet of blood fury,Elite void top,,Elite void robe,Void knight gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/nex,https://tools.runescape.wiki/osrs-dps/?id=GreenShardsRestaurant,,,,
The Nightmare,7.1792,73.32,47,melee,crush,aggressive,Dual macuahuitl,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/the-nightmare,https://tools.runescape.wiki/osrs-dps/?id=ColouredHillsWyvern,,,,
Phosani's Nightmare,7.1792,73.32,47,melee,crush,aggressive,Dual macuahuitl,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/phosanis-nightmare,https://tools.runescape.wiki/osrs-dps/?id=FishbowlStrangledControl,,,,
Cerberus,8.5028,80.03,51,melee,stab,controlled,Arclight,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),Demonbane vs demon,http://localhost:3000/boss/cerberus,https://tools.runescape.wiki/osrs-dps/?id=ArchaeologistsTealSnowy,,,,
Thermonuclear smoke devil,6.0161,58.93,49,melee,slash,accurate,Abyssal tentacle,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/thermonuclear-smoke-devil,https://tools.runescape.wiki/osrs-dps/?id=BusterCarvingLovakengj,,,,
King Black Dragon,5.5835,66.10,44,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,Dragonfire ward,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/king-black-dragon,https://tools.runescape.wiki/osrs-dps/?id=BlackstoneEliteCaviar,,,,
Kalphite Queen,6.2424,57.62,26,ranged,ranged,rapid,Toxic blowpipe,Holy blessing,Amethyst dart,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/kalphite-queen,https://tools.runescape.wiki/osrs-dps/?id=TrollweissHangoverShip,,,,
Dagannoth Prime,6.9109,63.79,26,ranged,ranged,rapid,Toxic blowpipe,Holy blessing,Amethyst dart,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/dagannoth-prime,https://tools.runescape.wiki/osrs-dps/?id=SustenanceTarlockFang,,,,
Dagannoth Rex,6.7953,98.84,33,magic,magic,accurate,Trident of the swamp,Holy blessing,,Void mage helm,Imbued zamorak cape,Occult necklace,Elite void top,Malediction ward,Elite void robe,Void knight gloves,Eternal boots,Brimstone ring,Magic potion (4),,http://localhost:3000/boss/dagannoth-rex,https://tools.runescape.wiki/osrs-dps/?id=WinterTrayLiving,,,,
Dagannoth Supreme,8.5144,83.41,49,melee,slash,accurate,Abyssal tentacle,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/dagannoth-supreme,https://tools.runescape.wiki/osrs-dps/?id=GraveyardGeneralsWell,,,,
Phantom Muspah,5.0167,72.97,33,magic,magic,accurate,Trident of the swamp,Holy blessing,,Void mage helm,Imbued zamorak cape,Occult necklace,Elite void top,Malediction ward,Elite void robe,Void knight gloves,Eternal boots,Brimstone ring,Magic potion (4),,http://localhost:3000/boss/phantom-muspah,https://tools.runescape.wiki/osrs-dps/?id=KrilPointFlighted,,,,
Corporeal Beast,5.1298,54.72,45,melee,stab,controlled,Dual macuahuitl,Holy blessing,,Void melee helm,Fire cape,Amulet of blood fury,Elite void top,,Elite void robe,Void knight gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/corporeal-beast,https://tools.runescape.wiki/osrs-dps/?id=WesternSaplingGown,,,,
Abyssal Sire,6.1934,58.29,51,melee,slash,accurate,Arclight,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),Demonbane vs demon,http://localhost:3000/boss/abyssal-sire,https://tools.runescape.wiki/osrs-dps/?id=EtherFollyBladed,,,,
Sarachnis,7.9327,81.02,47,melee,crush,aggressive,Dual macuahuitl,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/sarachnis,https://tools.runescape.wiki/osrs-dps/?id=MiningGodswordWine,,,,
Giant Mole,5.6301,51.97,26,ranged,ranged,rapid,Toxic blowpipe,Holy blessing,Amethyst dart,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/giant-mole,https://tools.runescape.wiki/osrs-dps/?id=ColossalBeardSmelly,,,,
